"t","Luma","Luminance","Shutter Speed (s)","Aperture (f/N)","ISO"
8.678782916E-1,5.352474989E-1,1.505659761E-1,2.556182000E-3,1.600000024E0,1.600000000E3
8.720391247E-1,4.604176275E-1,1.085072400E-1,2.557446000E-3,1.600000024E0,1.600000000E3
8.761999996E-1,5.408009988E-1,1.541422414E-1,2.556141000E-3,1.600000024E0,1.600000000E3
8.803608326E-1,4.753783082E-1,1.163316850E-1,2.556927000E-3,1.600000024E0,1.600000000E3
8.845216247E-1,5.089071200E-1,1.350594925E-1,2.556642000E-3,1.600000024E0,1.600000000E3
8.886826246E-1,5.209643977E-1,1.421273256E-1,2.555972000E-3,1.600000024E0,1.600000000E3
8.928436247E-1,4.693995392E-1,1.132870394E-1,2.556949000E-3,1.600000024E0,1.600000000E3
8.970043747E-1,5.448298923E-1,1.566886810E-1,2.555516000E-3,1.600000024E0,1.600000000E3
9.011651246E-1,4.622441257E-1,1.096559853E-1,2.556722000E-3,1.600000024E0,1.600000000E3
9.053260417E-1,5.224847587E-1,1.430154380E-1,2.556003000E-3,1.600000024E0,1.600000000E3
9.094868746E-1,4.953682137E-1,1.273940681E-1,2.556150000E-3,1.600000024E0,1.600000000E3
9.136477077E-1,4.806293397E-1,1.192023167E-1,2.556768000E-3,1.600000024E0,1.600000000E3
9.178084997E-1,5.336722104E-1,1.497950372E-1,2.555691000E-3,1.600000024E0,1.600000000E3
9.219694167E-1,4.548552701E-1,1.057837248E-1,2.557133000E-3,1.600000024E0,1.600000000E3
9.261302917E-1,5.353437794E-1,1.508501730E-1,2.556003000E-3,1.600000024E0,1.600000000E3
9.302910416E-1,4.751415118E-1,1.162923855E-1,2.556797000E-3,1.600000024E0,1.600000000E3
9.344518747E-1,5.012042655E-1,1.305768216E-1,2.556758000E-3,1.600000024E0,1.600000000E3
9.386127917E-1,5.228649013E-1,1.432696961E-1,2.556027000E-3,1.600000024E0,1.600000000E3
9.427735826E-1,4.653081184E-1,1.111606580E-1,2.557135000E-3,1.600000024E0,1.600000000E3
9.469344167E-1,5.431102094E-1,1.556161016E-1,2.555757000E-3,1.600000024E0,1.600000000E3
9.510953327E-1,4.626654116E-1,1.096985657E-1,2.556949000E-3,1.600000024E0,1.600000000E3
9.552561247E-1,5.230996537E-1,1.433881209E-1,2.556210000E-3,1.600000024E0,1.600000000E3
9.594172497E-1,5.017391277E-1,1.309369218E-1,2.556154000E-3,1.600000024E0,1.600000000E3
9.635779576E-1,4.805757749E-1,1.191802793E-1,2.556774000E-3,1.600000024E0,1.600000000E3
9.677387497E-1,5.378930884E-1,1.524564259E-1,2.555562000E-3,1.600000024E0,1.600000000E3
9.718996666E-1,4.581133436E-1,1.073766832E-1,2.556900000E-3,1.600000024E0,1.600000000E3
9.760605417E-1,5.370457995E-1,1.519075575E-1,2.555715000E-3,1.600000024E0,1.600000000E3
9.802212917E-1,4.810278789E-1,1.195021446E-1,2.556321000E-3,1.600000024E0,1.600000000E3
9.843821666E-1,5.009272692E-1,1.304647070E-1,2.556291000E-3,1.600000024E0,1.600000000E3
9.885430417E-1,5.272334756E-1,1.457947525E-1,2.555420000E-3,1.600000024E0,1.600000000E3
9.927039997E-1,4.634849222E-1,1.101779984E-1,2.556586000E-3,1.600000024E0,1.600000000E3
9.968646667E-1,5.432356308E-1,1.557937336E-1,2.555204000E-3,1.600000024E0,1.600000000E3
1.001025583E0,4.658622157E-1,1.114045775E-1,2.556294000E-3,1.600000024E0,1.600000000E3
1.005186417E0,5.152951727E-1,1.387673412E-1,2.555805000E-3,1.600000024E0,1.600000000E3
1.009347250E0,5.021768709E-1,1.310765139E-1,2.555735000E-3,1.600000024E0,1.600000000E3
1.013508083E0,4.736397046E-1,1.155262146E-1,2.556577000E-3,1.600000024E0,1.600000000E3
1.017668958E0,5.357452536E-1,1.511214981E-1,2.555434000E-3,1.600000024E0,1.600000000E3
1.021829750E0,4.530308684E-1,1.049343802E-1,2.556934000E-3,1.600000024E0,1.600000000E3
1.025990875E0,5.303940632E-1,1.478664702E-1,2.555962000E-3,1.600000024E0,1.600000000E3
1.030151542E0,4.798260767E-1,1.188763451E-1,2.556606000E-3,1.600000024E0,1.600000000E3
1.034312458E0,4.919015937E-1,1.254375833E-1,2.556864000E-3,1.600000024E0,1.600000000E3
1.038473250E0,5.259424686E-1,1.451269619E-1,2.556034000E-3,1.600000024E0,1.600000000E3
1.042634125E0,4.576196246E-1,1.072393981E-1,2.557388000E-3,1.600000024E0,1.600000000E3
1.046794958E0,5.387753359E-1,1.528846752E-1,2.556148000E-3,1.600000024E0,1.600000000E3
1.050955750E0,4.641796403E-1,1.105085785E-1,2.557292000E-3,1.600000024E0,1.600000000E3
1.055116625E0,5.123718532E-1,1.370680834E-1,2.556896000E-3,1.600000024E0,1.600000000E3
1.059277583E0,5.063009967E-1,1.335560282E-1,2.556694000E-3,1.600000024E0,1.600000000E3
1.063438333E0,4.708942184E-1,1.140375474E-1,2.557624000E-3,1.600000024E0,1.600000000E3
1.067599167E0,5.377645747E-1,1.522457011E-1,2.556416000E-3,1.600000024E0,1.600000000E3
1.071760000E0,4.561792441E-1,1.064012397E-1,2.557816000E-3,1.600000024E0,1.600000000E3
1.075920875E0,5.308993652E-1,1.480181504E-1,2.556828000E-3,1.600000024E0,1.600000000E3
1.080081708E0,4.850194553E-1,1.215109024E-1,2.557306000E-3,1.600000024E0,1.600000000E3
1.084242542E0,4.902862627E-1,1.244932108E-1,2.557616000E-3,1.600000024E0,1.600000000E3
1.088403375E0,5.301608308E-1,1.475597703E-1,2.556651000E-3,1.600000024E0,1.600000000E3
1.092564458E0,4.574791611E-1,1.071584014E-1,2.558009000E-3,1.600000024E0,1.600000000E3
1.096725042E0,5.396959488E-1,1.534394488E-1,2.556739000E-3,1.600000024E0,1.600000000E3
1.100886000E0,4.689575507E-1,1.130347936E-1,2.557731000E-3,1.600000024E0,1.600000000E3
1.105046875E0,5.060426066E-1,1.333482448E-1,2.557537000E-3,1.600000024E0,1.600000000E3
